date,coin_target,emotion_label,post_count,avg_score
2026-03-28,BNB,fear,1,0.428545
2026-03-28,BNB,neutral,1,0.704038
2026-03-28,BNB,surprise,2,0.8441110000000001
2026-03-28,BTC,anger,1,0.48092
2026-03-28,BTC,fear,4,0.59475925
2026-03-28,BTC,joy,7,0.7089871428571428
2026-03-28,BTC,neutral,41,0.723927756097561
2026-03-28,BTC,sadness,1,0.848751
2026-03-28,BTC,surprise,18,0.6838772777777778
2026-03-28,DOGE,joy,1,0.806353
2026-03-28,DOGE,neutral,5,0.8433657999999999
2026-03-28,DOGE,surprise,1,0.567735
2026-03-28,ETH,disgust,1,0.906146
2026-03-28,ETH,fear,1,0.988971
2026-03-28,ETH,neutral,3,0.6725326666666667
2026-03-28,MARKET,anger,3,0.5475173333333333
2026-03-28,MARKET,disgust,7,0.47633128571428573
2026-03-28,MARKET,fear,14,0.6616633571428572
2026-03-28,MARKET,joy,5,0.6306152
2026-03-28,MARKET,neutral,193,0.6843549481865284
2026-03-28,MARKET,sadness,12,0.6541947499999999
2026-03-28,MARKET,surprise,13,0.6168753076923077
2026-03-28,SHIB,neutral,1,0.761916
2026-03-28,SOL,fear,1,0.788686
2026-03-28,SOL,neutral,16,0.7774523125
2026-03-28,SOL,surprise,6,0.7698851666666666
2026-03-29,BNB,neutral,9,0.7608597777777777
2026-03-29,BNB,sadness,1,0.925557
2026-03-29,BNB,surprise,4,0.7573725
2026-03-29,BTC,anger,4,0.61198775
2026-03-29,BTC,disgust,1,0.579562
2026-03-29,BTC,fear,3,0.731976
2026-03-29,BTC,joy,3,0.768319
2026-03-29,BTC,neutral,54,0.7485854444444444
2026-03-29,BTC,sadness,1,0.915526
2026-03-29,BTC,surprise,6,0.616127
2026-03-29,DOGE,joy,1,0.607083
2026-03-29,DOGE,neutral,4,0.72537425
2026-03-29,DOGE,surprise,1,0.68963
2026-03-29,ETH,fear,1,0.973185
2026-03-29,ETH,neutral,6,0.8469101666666666
2026-03-29,ETH,surprise,1,0.844721
2026-03-29,MARKET,anger,3,0.6833079999999999
2026-03-29,MARKET,disgust,4,0.53960875
2026-03-29,MARKET,fear,26,0.6843167307692308
2026-03-29,MARKET,joy,6,0.45261866666666667
2026-03-29,MARKET,neutral,212,0.6541035660377358
2026-03-29,MARKET,sadness,9,0.5737995555555556
2026-03-29,MARKET,surprise,24,0.593199
2026-03-29,SHIB,joy,1,0.849102
2026-03-29,SHIB,neutral,1,0.861986
2026-03-29,SOL,disgust,1,0.451274
2026-03-29,SOL,joy,7,0.5391204285714286
2026-03-29,SOL,neutral,21,0.7391116666666667
2026-03-29,SOL,surprise,4,0.84008225
2026-03-30,BNB,joy,1,0.291992
2026-03-30,BNB,neutral,9,0.663969888888889
2026-03-30,BNB,sadness,1,0.286898
2026-03-30,BTC,anger,1,0.479984
2026-03-30,BTC,fear,8,0.6882295
2026-03-30,BTC,joy,2,0.61271
2026-03-30,BTC,neutral,55,0.7414244363636363
2026-03-30,BTC,sadness,2,0.6008085
2026-03-30,BTC,surprise,6,0.6523228333333333
2026-03-30,DOGE,disgust,1,0.357702
2026-03-30,DOGE,neutral,15,0.7015749333333333
2026-03-30,DOGE,surprise,2,0.6343145
2026-03-30,ETH,anger,1,0.773456
2026-03-30,ETH,disgust,1,0.743259
2026-03-30,ETH,neutral,6,0.7279586666666668
2026-03-30,MARKET,anger,21,0.6399904761904762
2026-03-30,MARKET,disgust,9,0.7241385555555556
2026-03-30,MARKET,fear,26,0.7002664230769231
2026-03-30,MARKET,joy,11,0.5774928181818182
2026-03-30,MARKET,neutral,316,0.6579604620253164
2026-03-30,MARKET,sadness,24,0.6124819166666667
2026-03-30,MARKET,surprise,20,0.6326764500000001
2026-03-30,SHIB,disgust,1,0.38124
2026-03-30,SHIB,neutral,2,0.6497345
2026-03-30,SOL,anger,1,0.39957
2026-03-30,SOL,disgust,1,0.567792
2026-03-30,SOL,fear,2,0.705541
2026-03-30,SOL,joy,1,0.343007
2026-03-30,SOL,neutral,45,0.7344384666666667
2026-03-30,SOL,sadness,4,0.641506
2026-03-30,SOL,surprise,7,0.6415005714285714
2026-03-31,BNB,anger,1,0.254012
2026-03-31,BNB,fear,2,0.7197085000000001
